index,business_type
Restaurant,482
Hotel,141
Retail,39
Auto Dealership,24
Catering,16
Eye Care,10
Building Services,10
Retail clothing store,10
Transportation,8
School,7
Auto Sales,7
Gym,7
Realty,7
Family planning services,6
Car Rental,6
Home Health Care,6
Performing Arts Theater,5
Clothing Retail,5
Diagnostic Imaging Center,5
Dentist,5
Manufacturing,5
Airline Services,5
Obstetrics and Gynecology,4
Car cleaning services,4
Excavating Contractor,4
Bakery,4
Leading global IT services company,4
Hospitality,3
-----,3
Law Firm,3
Social services organization,3
Dental equipment distribution and manufacturing,3
Airline,3
Manufacturer,3
Shoe Store,3
Commercial Printing,3
Retail Store,3
Paper Retailer,3
Theater,3
Bank,3
Retail store,3
Commercial real estate company,3
Photographic equipment and Supplies,3
Winter Sports Center,2
Furniture,2
Closets and Storage,2
Furniture Store,2
Janitorial Services,2
Wine Wholesaler,2
Medical Imaging,2
Legal Services,2
Airport Services,2
Movie Theater,2
Contracting,2
Sheet Metal Contractor,2
Construction,2
Healthcare,2
Country Club,2
Stone Quarry,2
Visual Effects and Post Production Services,2
Real Estate,2
Building Materials Supplier,2
Coffee Shop,2
Consulting Group,2
Ophthalmologist,2
Social Organization,2
"Developing private incubated brands across multiple categories of Health, Beauty, & Wellness, Fashion, and Home furnishing products.",2
General Contractor,2
Movie Theatre,2
Event Venue,2
Collection Agency,2
Debt Collection,2
Financial Institution,2
Media Company,2
Auto Body Shop,2
Retail Corporate offices,1
Cosmetic Manufacturer,1
Home Furnishing,1
Seafood Restaurant,1
Promotional Product Supplier,1
Refrigeration Wholesaler,1
Miscellaneous Home Furnishings Store,1
Electrical Supply Store,1
Modern Japanese restaurant,1
an American clothing brand and retailer,1
Cellular Sales,1
Cement Plant,1
Medical Equipment,1
Data Analytics Service Provider,1
Broth Shop,1
Courier Service,1
Catering/Event Venue,1
Members-only personal shopping and concierge service,1
Waste disposal and removal services,1
Home automation,1
Wellness Center,1
Education,1
Music Venue,1
Resort,1
Auto dealership,1
Production  Company,1
"American premium channel owned by the Home Box Office, Inc.",1
Human services non-profit organization sponsored by the Catholic Charities of the Archdiocese of New York with programs that help a large needy population in the New York metropolitan area.,1
Auto Dealer,1
Façade Manufacturing,1
Healthcare Center,1
Manages the production and distribution for Gannett’s domestic daily newspapers,1
Sanitation,1
Hydraulic Repair Service,1
Marketing,1
Casino Hotel,1
Wholesale Distribution,1
Car Rentals,1
Salon,1
Custom fabricator of architectural metal,1
Banking  Services,1
Produces  and distributes numerous brands of bottled water across North America.,1
Satellite Supplies,1
Plumbing and Heating,1
Event Company,1
Ophthalmologist/Optician,1
Food preparation and delivery services,1
Attorney,1
Wholesale distributor of Janitorial and Industrial Supplies,1
Tree service,1
Solar Energy Equipment,1
Heating and Cooling,1
Catering Staffing,1
Limousine Service,1
Optical Retailer,1
Wholesale Bakery,1
Pool Manufacturer,1
"New York City-based online monthly subscription service that sends its subscribers a box of four to five selected samples of makeup, or other beauty related products..",1
Ambulatory Surgery Center,1
On-demand car service,1
Nursing Home,1
Transportation and Logistics,1
Retail  and auto store,1
"Watch, Guard, Patrol Agency",1
American online travel company,1
Hair Salon,1
Airport Retail,1
Ski Resort,1
Online Fitness,1
Suit Retail,1
Waste Services and Material Recycling,1
Providing investment management and research services,1
Portfolio Management,1
Museum,1
"Plumbing, Heating, PVF, Fire Protection, and Waterworks Supplies",1
Social Club,1
Community Center,1
Studio Equipment,1
Beauty Salon Equipment,1
Marine Cargo Handling,1
A 675-megawatt coal-fired power plant,1
Consulting,1
Building maintenance and cleaning services,1
Payroll & HR Services,1
Pharmaceuticals (production),1
Denim Retailer,1
Collision Repair,1
"Designer, Distribution and Licensor of Apparel",1
Distribution,1
Paratransit transportation throughout the 5 boroughs of New York City.,1
Human services non-profit organization with programs that help a large needy population in the New York metropolitan area.,1
Youth Club,1
Trucking company providing freight transportation services and hauling cargo,1
Online Recommendations,1
Human Services Agency,1
"Bedding, Bath, and window Manufacturing",1
